title|price|size|block|type|floor|year
凤城二村 满五唯一 中间楼层 近紫荆广场和8号江浦站|430|70|凤城二村|2室1厅|中楼层(共5层)|1999年建板楼  
地铁八号线+双南精装+低税房满五唯一+设施成熟房主自荐|322|59|国和一村|2室1厅|高楼层(共6层)|1993年建板楼  
房型正气 看房方便 次新小区 交通便利|710|115|长恒苑|3室2厅|高楼层(共6层)|1999年建板楼  
东外滩总价低三房,房型正气，看房方便，满五唯一|680|107|银鹿大厦|3室2厅|高楼层(共24层)|板楼  
满五唯一 税费少 单价低 打一房|230|36|鞍山六村|1室1厅|高楼层(共5层)|1964年建板楼  
台益公寓 4室1厅 690万|690|121|台益公寓|4室1厅|低楼层(共24层)|1998年建塔楼  
高区景观房+全明采光无遮挡+近地铁12号、8号+诚意出售|979|144|富天苑|3室2厅|高楼层(共11层)|2001年建板楼  
品质小区+繁华地段+采光好+配套城熟+房东急售|1355|219|莱茵半岛|6室2厅|高楼层(共6层)|2002年建板楼  
满五唯一，无全额增值税，无个税 ，配套齐全|840|146|国富苑|3室2厅|高楼层(共24层)|2000年建塔楼  
户型正气，采光好，楼层好，诚意出售。|410|74|市光二村|2室1厅|高楼层(共6层)|1994年建板楼  
双阳公寓 3室2厅 850万|850|134|双阳公寓|3室2厅|中楼层(共14层)|2001年建板楼  
小区安静 居住舒适 一梯两户 满五唯一 随时看|220|49|松花江路95弄|1室1厅|高楼层(共6层)|1998年建板楼  
南北板式户型+得房率高+适宜居住|650|101|海鹏公寓|2室2厅|中楼层(共7层)|1996年建板楼  
仁缘坊 1室2厅 400万|400|59|仁缘坊|1室2厅|高楼层(共6层)|2001年建板楼  
地铁口公园边， 精装修带车位 成熟品质小区，诚意出售|795|109|锦杨苑|2室2厅|中楼层(共23层)|2000年建塔楼  
铁路新村(杨浦) 2室1厅 335万|335|57|铁路新村(杨浦)|2室1厅|高楼层(共7层)|1985年建板楼  
南北通两房 满五唯一 业主诚意卖 看房方便|299|53|国和路611弄|2室1厅|高楼层(共6层)|1995年建板楼  
佳龙花园 3室2厅 968万|968|126|佳龙花园|3室2厅|低楼层(共14层)|2004年建板楼  
有天井等于免费附赠空间《不靠马路》价钱便宜诚意出售|260|52|世界路99弄|1室1厅|低楼层(共6层)|1995年建板楼  
香阁丽苑 2室2厅 820万|820|98|香阁丽苑|2室2厅|低楼层(共10层)|2004年建板楼  
银杨大厦 2室1厅 545万|545|110|银杨大厦|2室1厅|中楼层(共26层)|1995年建塔楼  
国和二村 1室1厅 215万|215|39|国和二村|1室1厅|低楼层(共6层)|1988年建板楼  
明和苑 位置好，楼层佳 房厅房 南北板式 诚心出售|930|135|明和苑|3室2厅|高楼层(共12层)|2003年建板楼  
毛坯小户 钥匙房可随时看 出行便利近地铁 白领的福音|165|36|市光四村|1室1厅|高楼层(共6层)|1993年建板楼  
动迁房免增值税，全南户型厨卫全明，前排不靠马路|340|69|城市方园|2室1厅|低楼层(共33层)|2011年建板楼  
水电新村 1室2厅 270万|270|57|水电新村|1室2厅|高楼层(共6层)|1994年建板楼  
宝钢又一村 精装全明 中高区采光好 诚意出售价格低|680|100|宝钢又一村|2室2厅|中楼层(共20层)|1999年建板楼  
合生四期，全南婚房装修，业主置换，诚意出售|700|99|合生江湾国际公寓|2室2厅|低楼层(共16层)|2012年建板楼  
采光全明 好房子 诚意出售，看房速联系|200|35|控江七村|1室1厅|中楼层(共5层)|1979年建板楼  
浣纱四村 2室1厅 340万房主自荐|340|59|浣纱四村|2室1厅|高楼层(共6层)|1995年建板楼  
双南两房，全明户型，采光无遮挡，诚意出售|670|86|恒阳花苑|2室2厅|低楼层(共25层)|2006年建板楼  
延吉六村，小区出门50米地铁8号线延吉中路站，南北套|299|50|延吉五村|2室1厅|中楼层(共6层)|1986年建板楼  
苏家屯路29弄、南北通、西边套全明、交通便捷、诚意售|315|44|苏家屯路29弄|1室1厅|低楼层(共6层)|1984年建板楼  
公交新村 2室0厅 385万房主自荐|385|51|公交新村|2室0厅|中楼层(共7层)|1994年建板楼  
采光佳 景观楼层 交通方便 房型正气 看房方便房主自荐|480|70|明昌公寓|2室1厅|高楼层(共24层)|1993年建塔楼  
满五年无个税，学，区未用，高楼层采光无遮挡，随时看|538|64|建德国际公寓|1室2厅|高楼层(共11层)|2007年建板楼  
交通便利，生活设施齐全，配套齐全|1048|126|佳龙花园|3室2厅|中楼层(共14层)|2004年建板楼  
配套设施齐全，交通便利，生活交通都很方便|1195|143|华升新苑|3室2厅|中楼层(共17层)|2005年建板楼  
人闻素质高小区内有健身公园幼儿园居住的好选择|410|93|开鲁二村|3室1厅|高楼层(共6层)|1991年建板楼  
五角场商圈+方圆配套齐全+出行方便|700|126|阳光欧洲公寓|3室2厅|高楼层(共6层)|1999年建板楼  
紧凑户型，小两房，楼栋位置佳，楼层佳，采光好|410|74|城市名园|2室1厅|高楼层(共17层)|2005年建板楼  
满五唯一+到地铁1233米中间楼层+业主诚心出售价格可谈|630|99|华荣公寓|2室1厅|中楼层(共18层)|1998年建板楼  
韵都城 2室2厅 720万|720|98|韵都城|2室2厅|高楼层(共17层)|2007年建板楼  
翔殷大楼 低楼层 五角场版块 两居室|365|68|翔殷大楼|2室1厅|低楼层(共14层)|1989年建塔楼  
南北板式房+近地地铁12号线+精装修+诚心出售|660|100|长阳新家|2室2厅|中楼层(共6层)|1999年建板楼  
朝南一室户  价低户型正气  买到就是赚！|223|33|宁武路513号|1室1厅|高楼层(共6层)|1988年建板楼  
05年次新小区 看房有钥匙 厅朝南  主卧朝南 房东诚售|430|81|城市名园|1室2厅|中楼层(共30层)|2005年建板楼  
双阳一村 1室1厅 265万|265|47|双阳一村|1室1厅|低楼层(共7层)|1992年建板楼  
长阳新苑 新出三房，30平米花园，采光无遮挡，随时看|800|104|长阳新苑|3室2厅|低楼层(共6层)|1998年建板楼  
您和拥有这套房子只差一个来电！满五年唯一免个税|778|100|华升新苑|2室2厅|低楼层(共17层)|2004年建板楼  
鞍山五村 2室1厅 360万|360|55|鞍山五村|2室1厅|低楼层(共5层)|板楼  
松益公寓 3室1厅 670万|670|114|松益公寓|3室1厅|低楼层(共24层)|1995年建塔楼  
九龙仓玺园 4室2厅 2998万|2998|334|九龙仓玺园|4室2厅|中楼层(共13层)|2012年建板楼  
长海一村 2室1厅 355万|355|63|长海一村|2室1厅|高楼层(共6层)|1994年建板楼  
双南双天井，户型方正，地铁站口|430|72|仁德路67弄10支弄|2室1厅|低楼层(共6层)|1997年建板楼  
品质小区 南北通 看房方便 采光全明 拎包入住 精装|1100|128|海上海新城(公寓)|2室2厅|低楼层(共18层)|2006年建板楼  
房东爽气+房子在于比对+税少+南北双阳台+不靠马路|742|98|华升新苑|2室2厅|低楼层(共11层)|2001年建板楼  
彰武大楼 1室1厅 310万|310|45|彰武大楼|1室1厅|高楼层(共16层)|1989年建塔楼  
2房2厅1 置换出售 百米樱花大道 学期一站式|800|88|华润置地橡树湾|2室2厅|低楼层(共16层)|2009年建板楼  
满五唯一+采光好+繁华地段+位置佳|920|130|韵都城|3室2厅|中楼层(共17层)|2007年建板楼  
近地铁12号线300米+双南一北全明户型+业主诚心售|906|127|珠江香樟园|3室2厅|中楼层(共17层)|2005年建板楼  
明星住宅，品质小区，房型正，采光好，带车位|1680|212|三湘七星府邸|4室2厅|高楼层(共7层)|2013年建板楼  
南北通2房，不靠马路，满二唯一，1梯2户，5楼采光好|450|87|怡佳苑|2室2厅|高楼层(共6层)|1995年建板楼  
带车位，送地下室，人车分流，5楼，小区中间，价可谈|830|135|三湘世纪花城|3室2厅|高楼层(共6层)|2002年建板楼  
2010年俊工+原始复式+到地铁12号线426米精装拎包入住|430|55|宁阳福邸|2室1厅|高楼层(共4层)|2010年建板楼  
满二税费少 四房户型 高区景观|1550|175|华润置地橡树湾|4室2厅|高楼层(共20层)|2010年建板楼  
黄兴公园 地铁口 南北两房 空气清新 诚意出售|829|102|佳龙花园|2室2厅|中楼层(共18层)|2004年建板楼  
内环内 品质小区 南北精装两房 送15平花园|550|87|广杭苑|2室1厅|低楼层(共7层)|1996年建板楼  
密云小区 2室1厅 480万|480|66|密云小区|2室1厅|低楼层(共18层)|1989年建塔楼  
05年次新小区，电梯两房诚意卖！单价、总价就是低！！房主自荐|660|94|建设新苑|2室2厅|低楼层(共14层)|2005年建板楼  
