|price|size|type|floor|year
120|315|49|3|6|1985
121|215|41|2|6|1989
122|465|67|3|32|2013
123|320|64|3|7|1991
124|290|42|2|6|1997
125|508|79|4|6|1997
126|550|72|4|20|1989
127|380|55|3|6|1987
128|330|47|2|6|1995
129|1450|190|7|8|2002
130|530|91|4|7|1994
131|850|98|4|11|2003
132|1099|155|5|8|2006
133|870|131|5|9|2003
134|730|98|4|6|2002
135|670|94|4|6|2003
136|310|44|2|5|
137|850|99|4|11|2008
138|835|115|5|6|2001
139|235|36|2|7|1994
140|715|79|4|22|2012
141|480|56|2|6|1985
142|900|121|4|14|2006
143|255|34|1|5|1972
144|780|143|6|6|1997
145|314|55|3|6|1985
146|630|85|3|11|2008
147|660|102|3|23|2003
148|910|129|5|14|2005
149|720|90|4|6|1999
150|440|78|3|6|1997
151|760|116|5|6|1999
152|192|40|2|6|1997
153|380|62|3|6|1964
154|1450|169|9|13|2004
155|253|52|3|6|1991
156|935|108|4|18|2008
157|860|124|5|6|1999
158|630|104|4|26|2003
159|642|85|4|34|1997
160|330|71|3|34|2011
161|958|197|5|28|1998
162|520|75|3|13|2011
